active,date_installation,date_removal,heat_cost_allocator_id,kcl,kcw,qs,room_id
True,2012-06-01,,666,1.75,1.16,1345.0,1013
True,2012-06-01,,333,1.75,1.16,960.0,1018
True,2012-06-01,,336,1.75,1.14,2353.0,1021
True,2012-06-01,,2155,1.75,1.16,1514.0,1446
True,2012-06-01,,669,1.75,1.14,1741.0,1563
True,2012-06-01,,332,1.75,1.16,1627.0,1017
True,2012-06-01,,671,1.75,1.16,2604.0,1498
True,2012-06-01,,2161,1.75,1.16,1514.0,1444
True,2012-06-01,,672,1.75,1.16,1395.0,1563
True,2012-06-01,,2165,1.74,1.4,878.0,5953
True,2012-06-01,,335,1.75,1.16,2604.0,1020
True,2012-06-01,,674,1.75,1.16,960.0,1639
True,2012-06-01,,675,1.75,1.14,1765.0,1705
True,2012-06-16,,676,1.75,1.16,2092.0,1495
True,2012-06-16,,677,1.75,1.16,1395.0,1703
True,2012-06-16,,678,1.75,1.16,1395.0,1497
True,2012-06-16,,679,1.75,1.14,1765.0,1564
True,2012-06-16,,680,1.75,1.16,1395.0,1699
True,2012-06-16,,681,1.75,1.16,2604.0,1565
True,2012-06-16,,682,1.75,1.14,1765.0,1560
True,2012-06-16,,683,1.75,1.16,1850.0,1701
True,2012-06-16,,684,1.75,1.16,1682.0,1562
True,2012-06-16,,685,1.75,1.16,960.0,1636
True,2012-06-16,,686,1.75,1.16,960.0,1638
True,2013-07-11,,2025,1.74,1.09,635.0,5818
False,,2013-08-28,14317,,,,5901
True,2013-08-29,,2116,1.8,1.11,2313.0,5907
True,2013-08-29,,2111,1.84,1.11,1172.0,5902
True,2013-08-29,,2114,1.8,1.11,3558.0,5905
True,2013-08-29,,2115,1.79,1.15,1961.0,5906
True,2013-08-29,,2117,1.8,1.11,1248.0,5908
True,2013-08-29,,2113,1.8,1.11,2616.0,5904
True,2013-08-29,,2136,1.78,1.14,856.0,5927
True,2013-08-29,,2112,1.51,1.6,3682.0,5903
True,2013-08-29,,2140,1.51,1.6,2352.0,5931
True,2013-08-29,,2139,1.79,1.15,1466.0,5930
True,2013-08-29,,2144,1.51,1.6,2352.0,5935
True,2013-08-29,,2143,1.51,1.6,1381.0,5934
True,2013-08-29,,2141,1.51,1.6,1715.0,5932
True,2013-08-29,,2152,1.51,1.6,2688.0,5943
True,2013-08-29,,2138,1.51,1.6,2704.0,5929
True,2013-08-29,,2137,1.51,1.6,1430.0,5928
True,2013-07-11,,2032,1.74,1.09,825.0,5825
True,2013-07-11,,2031,1.62,1.06,3066.0,5824
True,2013-07-11,,2035,1.74,1.09,842.0,5828
True,2013-07-11,,2030,1.75,1.14,1120.0,5823
True,2013-07-11,,2048,1.71,1.09,2846.0,5841
True,2013-07-11,,2052,1.84,1.11,884.0,5845
True,2013-07-11,,2051,1.62,1.06,2920.0,5844
True,2013-07-11,,2029,1.8,1.11,2811.0,5822
True,2013-07-11,,2050,1.84,1.11,1251.0,5843
True,2013-07-11,,2054,1.62,1.06,1971.0,5847
True,2013-07-11,,2058,1.51,1.11,1083.0,5851
True,2013-07-11,,2027,1.76,1.1,1034.0,5820
True,2013-07-11,,2033,1.62,1.06,1971.0,5826
True,2013-07-11,,2038,1.62,1.06,2555.0,5831
True,2013-07-11,,2028,1.84,1.11,1493.0,5821
True,2013-07-11,,2053,1.62,1.06,2044.0,5846
True,2013-07-11,,2034,1.62,1.06,3465.0,5827
True,2013-07-11,,2026,1.8,1.11,3304.0,5819
True,2013-07-11,,2039,1.62,1.06,2555.0,5832
True,2013-07-11,,2055,1.62,1.06,1220.0,5848
True,2013-07-11,,2040,1.74,1.09,1112.0,5833
True,2013-07-11,,2060,1.51,1.11,2223.0,5852
True,2013-07-11,,2059,1.51,1.11,1140.0,5851
True,2013-07-11,,2036,1.62,1.06,3960.0,5829
True,2013-07-11,,2057,1.75,1.14,918.0,5850
True,2013-07-11,,2056,1.62,1.06,2920.0,5849
True,2013-07-11,,2042,1.74,1.09,1103.0,5835
True,2013-07-11,,2041,1.8,1.11,3738.0,5834
True,2013-07-11,,2043,1.62,1.06,2336.0,5836
True,2013-07-11,,2044,1.62,1.06,2336.0,5837
True,2013-07-11,,2045,1.74,1.09,1138.0,5838
True,2013-07-11,,2047,1.74,1.09,1460.0,5840
