room_id,type,unit_id,building_id
939,KI,357,57
941,B,357,57
940,K,357,57
943,S,357,57
942,W,357,57
945,KI,358,57
947,B,358,57
946,K,358,57
949,S,358,57
948,W,358,57
951,KI,359,57
953,B,359,57
952,K,359,57
955,S,359,57
954,W,359,57
957,KI,360,57
959,B,360,57
958,K,360,57
961,S,360,57
960,W,360,57
963,KI,361,57
965,B,361,57
964,K,361,57
967,S,361,57
966,W,361,57
969,KI,362,57
971,B,362,57
970,K,362,57
973,S,362,57
972,W,362,57
975,KI,363,57
977,B,363,57
976,K,363,57
979,S,363,57
978,W,363,57
981,KI,364,57
983,B,364,57
982,K,364,57
985,S,364,57
984,W,364,57
987,KI,365,57
989,B,365,57
988,K,365,57
991,S,365,57
990,W,365,57
993,KI,366,57
994,B,366,57
995,K,366,57
997,S,366,57
996,W,366,57
999,KI,367,57
1001,B,367,57
1000,K,367,57
1003,S,367,57
1002,W,367,57
1005,KI,368,57
1007,B,368,57
1006,K,368,57
1009,S,368,57
1008,W,368,57
1012,B,369,58
1013,Z,369,58
1011,K,369,58
1015,S,369,58
1014,W,369,58
1182,WK,369,58
1018,B,372,58
1019,Z,372,58
1806,KI,372,58
1017,K,372,58
1021,S,372,58
1020,W,372,58
1183,WK,372,58
1023,K,373,58
1024,EZ,373,58
1025,B,373,58
1807,KI,373,58
1027,S,373,58
1026,W,373,58
1184,WK,373,58
1495,K,374,58
1560,W,374,58
1636,B,374,58
1699,S,374,58
1185,WK,374,58
1496,K,375,58
1561,W,375,58
1637,B,375,58
1700,S,375,58
1186,WK,375,58
1497,K,377,58
1562,W,377,58
1638,B,377,58
1701,S,377,58
1187,WK,377,58
1033,B,378,58
1032,K,378,58
1035,S,378,58
1034,W,378,58
1188,WK,378,58
1498,K,379,58
1563,W,379,58
1639,B,379,58
1189,WK,379,58
11756,S,379,58
1499,K,380,58
1564,W,380,58
1640,B,380,58
1703,S,380,58
1190,WK,380,58
1500,K,381,58
1565,W,381,58
1641,B,381,58
1704,S,381,58
1808,KI,381,58
1191,WK,381,58
1566,W,382,58
1041,B,382,58
1042,Z,382,58
1040,K,382,58
1043,S,382,58
1192,WK,382,58
1501,K,383,58
1642,B,383,58
1705,S,383,58
1809,KI,383,58
1193,WK,383,58
1442,W,642,58
1443,B,642,58
1444,S,642,58
1445,Z,642,58
1446,K,642,58
5949,WK,642,58
5950,K,643,58
5951,W,643,58
5953,B,643,58
5954,S,643,58
5955,Z,643,58
5956,WC,643,58
5957,KI,643,58
5958,WK,643,58
5959,K,688,58
5960,W,688,58
5961,B,688,58
5962,S,688,58
5963,WK,688,58
486,KI,186,26
488,B,186,26
491,F,186,26
487,K,186,26
490,S,186,26
489,W,186,26
494,B,187,26
496,F,187,26
493,K,187,26
495,W,187,26
499,B,188,26
502,F,188,26
498,K,188,26
501,S,188,26
500,W,188,26
505,B,189,26
508,F,189,26
504,K,189,26
507,S,189,26
506,W,189,26
511,B,190,26
514,F,190,26
510,K,190,26
513,S,190,26
512,W,190,26
517,B,191,26
520,F,191,26
516,K,191,26
519,S,191,26
518,W,191,26
523,B,192,26
524,Z,192,26
527,WC,192,26
522,K,192,26
526,S,192,26
525,W,192,26
530,B,193,26
533,F,193,26
529,K,193,26
532,S,193,26
531,W,193,26
536,B,194,26
539,F,194,26
535,K,194,26
538,S,194,26
537,W,194,26
542,B,195,26
545,F,195,26
541,K,195,26
544,S,195,26
543,W,195,26
5847,KI,605,17
5846,S,605,17
5845,B,605,17
5844,W,605,17
5843,K,605,17
5852,KI,606,17
5851,S,606,17
5850,B,606,17
5849,W,606,17
5848,K,606,17
5862,KI,607,17
5861,S,607,17
5860,B,607,17
5859,W,607,17
5858,K,607,17
5837,KI,608,17
5836,S,608,17
5835,B,608,17
5834,W,608,17
5833,K,608,17
5842,KI,609,17
5841,S,609,17
5840,B,609,17
5839,W,609,17
5838,K,609,17
5913,F,631,52
5912,S,631,52
5911,B,631,52
5910,W,631,52
5909,K,631,52
5917,S,632,52
5916,B,632,52
5915,W,632,52
5914,K,632,52
5922,F,633,52
5921,S,633,52
5920,B,633,52
5919,W,633,52
5918,K,633,52
5927,F,634,52
5926,S,634,52
5925,B,634,52
5924,W,634,52
5923,K,634,52
5931,S,635,52
5930,B,635,52
5929,W,635,52
5928,K,635,52
5936,F,636,52
5935,S,636,52
